sister_kid_position,sister_kid_position_text,sister_kid_position_text_ab,sister_kid_position_text_F_ab,sister_kid_position_which,sister_kid_position_which_ab,sister_kid_gender,sister_kid_position_which_gender_ab,sister_kid_status,sister_kid_aliveage,sister_kid_yemendeceased,sister_kid_dieyear,sister_kid_diemonth,sister_kid_diedage,sister_kid_governorate,sister_kid_cod,PARENT_KEY,KEY
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,22,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[1],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,19,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[1],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,deceased,,yes,2017,,7,ibb,other,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[1],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,,,male,,alive,5,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[2],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,18,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[1],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,16,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[1],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,9,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[1],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,19,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,16,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,10,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
