brother_position,brother_position_text,brother_position_text_ab,brother_position_which,brother_position_which_ab,brother_status,brother_aliveage,brother_yemendeceased,brother_dieyear,brother_diemonth,brother_diedage,brother_governorate,brother_cod,PARENT_KEY,KEY
0,oldest,الأول,oldest,الأول,alive,33,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,31,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,29,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,,,alive,25,,,,,,,uuid:e1f8f331-3a63-4fe6-a1df-22577e6c6674,uuid:e1f8f331-3a63-4fe6-a1df-22577e6c6674/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,32,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,27,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,22,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,oldest,الأول,alive,36,,,,,,,uuid:85734498-203d-4d22-a2f3-c2825e311bd8,uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,34,,,,,,,uuid:85734498-203d-4d22-a2f3-c2825e311bd8,uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,32,,,,,,,uuid:85734498-203d-4d22-a2f3-c2825e311bd8,uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,30,,,,,,,uuid:85734498-203d-4d22-a2f3-c2825e311bd8,uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,oldest,الأول,alive,47,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,45,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,33,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,28,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,,,alive,51,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,50,,,,,,,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,30,,,,,,,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,42,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,41,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,39,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,37,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour[4]
4,fifth,الخامس,fifth,الخامس,alive,41,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour[5]
5,sixth,السادس,sixth,السادس,unknown,,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour[6]
0,oldest,الأول,oldest,الأول,alive,39,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,36,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,26,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,oldest,الأول,alive,37,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,28,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,31,,,,,,,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,27,,,,,,,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,19,,,,,,,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,15,,,,,,,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2,uuid:426decf5-4d42-4c90-b3b4-e90427a2baf2/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,,,alive,42,,,,,,,uuid:5f355532-147a-40fc-af36-12130ed1577a,uuid:5f355532-147a-40fc-af36-12130ed1577a/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,38,,,,,,,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,36,,,,,,,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,26,,,,,,,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7,uuid:5c3f639e-0d9d-4116-8574-b064ecc2adc7/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,oldest,الأول,alive,43,,,,,,,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,31,,,,,,,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/siblingsyour/brother/brotheryour[2]
