brother_kid_position,brother_kid_position_text,brother_kid_position_text_ab,brother_kid_position_text_F_ab,brother_kid_position_which,brother_kid_position_which_ab,brother_kid_gender,brother_kid_position_which_gender_ab,brother_kid_status,brother_kid_aliveage,brother_kid_yemendeceased,brother_kid_dieyear,brother_kid_diemonth,brother_kid_diedage,brother_kid_governorate,brother_kid_cod,PARENT_KEY,KEY
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,0,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[1],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,,,female,,alive,1,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[2],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,18,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[1],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,16,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[1],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,14,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[2],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,11,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[2],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,13,,,,,,,uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1],uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,12,,,,,,,uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1],uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,8,,,,,,,uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1],uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,0,,,,,,,uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1],uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
